well_id,sno,state,district,block,location,latitude,longitude,year,ph,ec,co3,hco3,cl,so4,no3,po4,th,ca,mg,na,k,f,tds,sio2
W254029084355301,1,Himachal Pradesh,Solan,Nallagarh,JAGATPUR,31.1594,76.6785,2019,8.44,299.0,43.0,87.0,21.0,0.0,2.7,0.0,84.0,17.0,10.0,39.0,2.4,0.2,,11.0
W251908084361501,2,Himachal Pradesh,Solan,Nallagarh,BARUNA,31.154,76.6384,2019,8.4,270.0,43.0,87.0,14.0,0.0,10.0,0.0,116.0,10.0,18.0,23.0,1.0,0.12,,12.0
W310955076364001,3,Himachal Pradesh,Solan,Nallagarh,BHATOLI,31.1651,76.6082,2019,8.4,318.0,43.0,87.0,21.0,0.0,13.0,0.0,116.0,10.0,18.0,28.0,2.5,0.15,,13.0
W310143076392701,4,Himachal Pradesh,Solan,Nallagarh,MAGANPURA,31.02,76.65,2019,8.12,715.0,0.0,131.0,134.0,21.0,52.0,0.0,200.0,38.0,26.0,68.0,4.0,0.14,,16.0
W321645075471501,5,Himachal Pradesh,Kangra,Nurpur,PANJPIR,32.28,75.7914,2019,8.12,277.0,0.0,171.0,14.0,0.0,10.0,0.0,110.0,28.0,9.7,26.0,2.01,0.22,,30.0
W321645075503001,6,Himachal Pradesh,Kangra,Nurpur,JASSUR,32.2796,75.8408,2019,8.45,330.0,24.0,122.0,21.0,0.0,21.0,0.0,140.0,24.0,19.0,23.0,1.99,0.16,,14.0
W321300075401501,7,Himachal Pradesh,Kangra,Indora,MOHTLI,32.2157,75.6687,2019,8.18,377.0,0.0,146.0,42.0,0.0,23.0,0.0,120.0,32.0,9.7,35.0,4.9,0.15,,17.0
W320045076140001,8,Himachal Pradesh,Kangra,Kangra,BANDH,32.0042,76.2299,2019,8.45,310.0,12.0,159.0,28.0,0.0,7.2,0.0,110.0,32.0,7.3,24.0,0.0,0.3,,23.0
W320630076162001,9,Himachal Pradesh,Kangra,Kangra,KANGRA,32.1067,76.2752,2019,8.47,275.0,12.0,110.0,21.0,0.0,20.0,0.0,110.0,28.0,0.0,22.0,2.2,0.15,,23.0
W320200076150001,10,Himachal Pradesh,Kangra,Kangra,TAKIPUR,32.0503,76.2538,2019,8.25,307.0,0.0,134.0,21.0,0.0,23.0,0.0,130.0,28.0,15.0,16.0,0.0,0.12,,10.0
W320315076372501,11,Himachal Pradesh,Kangra,Baijnath,PAPROLA,32.0536,76.6338,2019,7.72,200.0,0.0,85.0,21.0,0.0,15.0,0.0,70.0,24.0,0.0,20.0,3.9,0.32,,6.0
W314745076200001,12,Himachal Pradesh,Kangra,Dehra gopipur,BHAROLI,31.7921,76.3342,2019,8.32,630.0,12.0,159.0,83.0,10.0,32.0,0.0,180.0,36.0,22.0,57.0,1.9,0.15,,9.8
W321605076010001,13,Himachal Pradesh,Kangra,Nurpur,MAO,32.2603,76.0106,2019,8.4,312.0,12.0,171.0,21.0,0.0,1.6,0.0,130.0,40.0,7.3,28.0,1.0,0.17,,14.0
W320730075413001,14,Himachal Pradesh,Kangra,Indora,ANDAURA,32.1369,75.6894,2019,8.5,400.0,48.0,171.0,21.0,5.0,7.7,0.0,140.0,28.0,17.0,55.0,2.3,0.25,,19.0
W320330075431501,15,Himachal Pradesh,Kangra,Indora,BAROTA,32.0388,75.7192,2019,8.32,415.0,12.0,171.0,28.0,0.0,36.0,0.0,150.0,32.0,17.0,26.0,19.0,0.1,,15.0
W314710076175001,16,Himachal Pradesh,Kangra,Rakkar,HARDOGRI,31.7839,76.2956,2019,8.3,385.0,24.0,159.0,35.0,0.0,3.3,0.0,150.0,44.0,9.7,32.0,1.5,0.15,,15.0
W320624076243902,17,Himachal Pradesh,Kangra,Kangra,CHAKBAN AMBARI,32.1068,76.4111,2019,8.0,150.0,0.0,61.0,20.0,0.0,7.3,0.0,50.0,16.0,0.0,16.0,0.0,0.1,,13.0
W320943075592701,18,Himachal Pradesh,Kangra,Indora,DARKATI,32.1622,75.9909,2019,8.35,345.0,12.0,146.0,27.0,0.0,24.0,0.0,120.0,24.0,15.0,28.0,14.0,0.12,,15.0
W320536076155201,19,Himachal Pradesh,Kangra,Kangra,OLD KANGRA,32.0934,76.2645,2019,8.47,362.0,48.0,110.0,13.0,12.0,16.0,0.0,160.0,40.0,15.0,25.0,1.5,0.14,,29.0
W315800076321701,20,Himachal Pradesh,Kangra,Kang-Palmpur,Ladhi,31.9667,76.5382,2019,8.2,255.0,0.0,134.0,21.0,20.0,1.0,0.0,120.0,28.0,19.0,17.0,8.9,0.14,,3.9
W322125075514101,21,Himachal Pradesh,KANGRA,Nurpur,PARNALLA,32.3572,75.8614,2019,8.32,200.0,24.0,85.0,6.7,0.0,1.7000000000000002,0.0,100.0,24.0,9.7,12.0,0.0,0.22,,12.0
